fid,GEOID,Name,Current,Pop_Decennial,Pop_Change,Pop Change,Year,Population
112,24510240200,"Census Tract 2402, Baltimore city, Maryland",2564,2564,0,0,,
148,24510261100,"Census Tract 2611, Baltimore city, Maryland",1943,1951,-8,-8,,
91,24510170300,"Census Tract 1703, Baltimore city, Maryland",2002,2011,-9,-9,,
3,24510010300,"Census Tract 103, Baltimore city, Maryland",2190,2208,-18,-18,,
128,24510250600,"Census Tract 2506, Baltimore city, Maryland",0,22,-22,-22,,
124,24510250303,"Census Tract 2503.03, Baltimore city, Maryland",2300,2324,-24,-24,,
46,24510120201,"Census Tract 1202.01, Baltimore city, Maryland",1998,2033,-35,-35,,
158,24510270600,"Census Tract 2706, Baltimore city, Maryland",4558,4605,-47,-47,,
172,24510271101,"Census Tract 2711.01, Baltimore city, Maryland",1991,2046,-55,-55,,
94,24510190200,"Census Tract 1902, Baltimore city, Maryland",1863,1920,-57,-57,,
32,24510090200,"Census Tract 902, Baltimore city, Maryland",3182,3243,-61,-61,,
171,24510271002,"Census Tract 2710.02, Baltimore city, Maryland",4064,4132,-68,-68,,
69,24510150400,"Census Tract 1504, Baltimore city, Maryland",3647,3724,-77,-77,,
151,24510270200,"Census Tract 2702, Baltimore city, Maryland",1836,1914,-78,-78,,
79,24510151300,"Census Tract 1513, Baltimore city, Maryland",4449,4546,-97,-97,,
103,24510200702,"Census Tract 2007.02, Baltimore city, Maryland",1327,1426,-99,-99,,
6,24510020100,"Census Tract 201, Baltimore city, Maryland",1767,1884,-117,-117,,
21,24510080101,"Census Tract 801.01, Baltimore city, Maryland",3763,3881,-118,-118,,
87,24510160801,"Census Tract 1608.01, Baltimore city, Maryland",3156,3281,-125,-125,,
113,24510240300,"Census Tract 2403, Baltimore city, Maryland",1995,2141,-146,-146,,
2,24510010200,"Census Tract 102, Baltimore city, Maryland",2861,3009,-148,-148,,
123,24510250301,"Census Tract 2503.01, Baltimore city, Maryland",2280,2430,-150,-150,,
189,24510280101,"Census Tract 2801.01, Baltimore city, Maryland",3070,3226,-156,-156,,
104,24510200800,"Census Tract 2008, Baltimore city, Maryland",2122,2282,-160,-160,,
160,24510270702,"Census Tract 2707.02, Baltimore city, Maryland",2167,2333,-166,-166,,
15,24510060300,"Census Tract 603, Baltimore city, Maryland",1623,1800,-177,-177,,
92,24510180300,"Census Tract 1803, Baltimore city, Maryland",1726,1909,-183,-183,,
56,24510130400,"Census Tract 1304, Baltimore city, Maryland",1824,2011,-187,-187,,
29,24510080700,"Census Tract 807, Baltimore city, Maryland",940,1137,-197,-197,,
45,24510120100,"Census Tract 1201, Baltimore city, Maryland",4588,4790,-202,-202,,
195,24510280402,"Census Tract 2804.02, Baltimore city, Maryland",1370,1574,-204,-204,,
156,24510270501,"Census Tract 2705.01, Baltimore city, Maryland",4205,4420,-215,-215,,
52,24510120700,"Census Tract 1207, Baltimore city, Maryland",2259,2476,-217,-217,,
17,24510070100,"Census Tract 701, Baltimore city, Maryland",2738,2957,-219,-219,,
187,24510272006,"Census Tract 2720.06, Baltimore city, Maryland",3326,3548,-222,-222,,
118,24510250203,"Census Tract 2502.03, Baltimore city, Maryland",1793,2018,-225,-225,,
70,24510150500,"Census Tract 1505, Baltimore city, Maryland",1305,1543,-238,-238,,
37,24510090700,"Census Tract 907, Baltimore city, Maryland",2910,3149,-239,-239,,
149,24510270101,"Census Tract 2701.01, Baltimore city, Maryland",1458,1698,-240,-240,,
67,24510150200,"Census Tract 1502, Baltimore city, Maryland",2452,2699,-247,-247,,
186,24510272005,"Census Tract 2720.05, Baltimore city, Maryland",3181,3429,-248,-248,,
139,24510260403,"Census Tract 2604.03, Baltimore city, Maryland",1309,1575,-266,-266,,
34,24510090400,"Census Tract 904, Baltimore city, Maryland",1306,1586,-280,-280,,
54,24510130200,"Census Tract 1302, Baltimore city, Maryland",2485,2775,-290,-290,,
81,24510160200,"Census Tract 1602, Baltimore city, Maryland",2225,2515,-290,-290,,
1,24510010100,"Census Tract 101, Baltimore city, Maryland",2721,3022,-301,-301,,
18,24510070200,"Census Tract 702, Baltimore city, Maryland",3478,3782,-304,-304,,
78,24510151200,"Census Tract 1512, Baltimore city, Maryland",3907,4215,-308,-308,,
95,24510190300,"Census Tract 1903, Baltimore city, Maryland",2274,2586,-312,-312,,
162,24510270801,"Census Tract 2708.01, Baltimore city, Maryland",3733,4051,-318,-318,,
55,24510130300,"Census Tract 1303, Baltimore city, Maryland",1950,2269,-319,-319,,
96,24510200100,"Census Tract 2001, Baltimore city, Maryland",1523,1846,-323,-323,,
142,24510260604,"Census Tract 2606.04, Baltimore city, Maryland",1136,1465,-329,-329,,
121,24510250206,"Census Tract 2502.06, Baltimore city, Maryland",2253,2590,-337,-337,,
140,24510260404,"Census Tract 2604.04, Baltimore city, Maryland",1658,1996,-338,-338,,
